system,source_artifact,recall_at_5,recall_at_10,mrr,ndcg_at_10,hit_rate_at_5,required_block_coverage_at_5,required_block_coverage_at_10,tr_mrr,en_mrr
Fixed chunking + GTE,m4.1/chunking,1.0,1.0,0.8440476190476192,0.7791640447811415,1.0,,,0.888888888888889,0.7992063492063493
Structure-aware chunking + GTE,m4.1/chunking,1.0,1.0,0.8988095238095238,0.8178030239799219,1.0,,,0.8928571428571429,0.9047619047619048
Structure-aware + E5 Dense,m4.3/retrieval,0.9583333333333334,1.0,0.8700396825396824,0.851616549391461,0.9642857142857143,0.9583333333333334,1.0,0.9404761904761905,0.7996031746031746
Structure-aware + BM25,m4.3/retrieval,0.9107142857142857,0.9583333333333334,0.8445767195767195,0.8253427136056326,0.9166666666666666,0.9107142857142857,0.9583333333333334,0.9384920634920635,0.7506613756613757
Structure-aware + E5 Dense + BM25 + RRF,m4.4/hybrid,0.9583333333333334,1.0,0.8773951247165532,0.8568059012307988,0.9642857142857143,0.9583333333333334,1.0,0.9619047619047618,0.7928854875283446
Dense + Reranker,m4.5/reranking,0.8988095238095238,0.9821428571428571,0.8737197656840514,0.8448265424350235,0.9047619047619048,0.8988095238095238,0.9821428571428571,0.9722222222222223,0.7752173091458806
Hybrid RRF + Reranker,m4.5/reranking,0.8988095238095238,0.9821428571428571,0.8737197656840514,0.8448265424350235,0.9047619047619048,0.8988095238095238,0.9821428571428571,0.9722222222222223,0.7752173091458806
