retriever_key,retriever,recall_at_5,recall_at_10,mrr,ndcg_at_10,hit_rate_at_5,required_block_coverage_at_5,required_block_coverage_at_10,candidate_depth,reranker_model_id,model_load_seconds,total_reranking_seconds,pairs_scored,pairs_per_second,peak_cuda_memory_bytes
dense_e5,Dense — intfloat/multilingual-e5-large-instruct,0.9583333333333334,1.0,0.8700396825396824,0.851616549391461,0.9642857142857143,0.9583333333333334,1.0,20,,,,,,
hybrid_rrf,Hybrid — Dense + BM25 RRF,0.9583333333333334,1.0,0.8773951247165532,0.8568059012307988,0.9642857142857143,0.9583333333333334,1.0,20,,,,,,
dense_reranker,Dense + Reranker,0.8988095238095238,0.9821428571428571,0.8737197656840514,0.8448265424350235,0.9047619047619048,0.8988095238095238,0.9821428571428571,20,BAAI/bge-reranker-v2-m3,9.904243570999995,29.597812294000363,2016,68.1131422814197,4583522304
hybrid_reranker,Hybrid RRF + Reranker,0.8988095238095238,0.9821428571428571,0.8737197656840514,0.8448265424350235,0.9047619047619048,0.8988095238095238,0.9821428571428571,20,BAAI/bge-reranker-v2-m3,9.904243570999995,29.597812294000363,2016,68.1131422814197,4583522304
