retriever_key,retriever,recall_at_5,recall_at_10,mrr,ndcg_at_10,hit_rate_at_5,required_block_coverage_at_5,required_block_coverage_at_10,candidate_depth,rrf_k,dense_query_embedding_seconds,dense_query_retrieval_seconds,sparse_index_build_seconds,sparse_query_retrieval_seconds,fusion_seconds,chunk_count,bm25_k1,bm25_b
dense_e5,Dense — intfloat/multilingual-e5-large-instruct,0.9583333333333334,1.0,0.8700396825396824,0.851616549391461,0.9642857142857143,0.9583333333333334,1.0,20,,0.551002412999992,0.1502435319999904,,0.1502435319999904,,12,,
sparse_bm25,Sparse — BM25,0.9107142857142857,0.9583333333333334,0.8445767195767195,0.8253427136056326,0.9166666666666666,0.9107142857142857,0.9583333333333334,20,,,0.0028915039999901637,0.000782189999995353,0.0028915039999901637,,12,1.5,0.75
hybrid_rrf,Hybrid — Dense + BM25 RRF,0.9583333333333334,1.0,0.8773951247165532,0.8568059012307988,0.9642857142857143,0.9583333333333334,1.0,20,60,0.551002412999992,0.1502435319999904,0.000782189999995353,0.0028915039999901637,0.0009297529999230392,12,1.5,0.75
