chunker,avg_tokens,recall_at_5,recall_at_10,mrr,ndcg_at_10,hit_rate_at_5
fixed,64.66666666666667,1.0,1.0,0.8440476190476192,0.7791640447811415,1.0
recursive,64.66666666666667,0.9761904761904762,1.0,0.8313492063492063,0.7699292704387682,0.9761904761904762
production_structure_aware,32.333333333333336,1.0,1.0,0.8988095238095238,0.8178030239799219,1.0
